Wavlength (nm)	Coastal blue	Blue 475	green 531	Green 560	Red 650	Red 668	RedEdge 705	RedEdge 717	RedEdge 740	NIR
695	1.7331E-97	1.22044E-57	5.8244E-166	1.31696E-30	2.98691E-10	3.32209E-05	0.0625	8.97055E-05	2.98023E-08	1.11128E-08
696	2.92605E-98	3.69782E-58	5.5469E-168	4.71631E-31	1.1148E-10	1.52588E-05	0.105843164	0.000205297	6.3828E-08	1.42574E-08
697	4.9053E-99	1.11435E-58	5.1352E-170	1.67621E-31	4.07157E-11	6.81306E-06	0.169575541	0.000452087	1.34382E-07	1.82607E-08
698	8.1655E-100	3.34001E-59	4.6215E-172	5.91223E-32	1.45519E-11	2.95718E-06	0.257028457	0.00095794	2.78122E-07	2.33483E-08
699	1.3497E-100	9.95682E-60	4.0432E-174	2.06952E-32	5.08946E-12	1.24775E-06	0.368567304	0.001953125	5.65846E-07	2.98023E-08
700	2.2151E-101	2.95218E-60	3.4385E-176	7.18929E-33	1.74187E-12	5.11785E-07	0.5	0.003831758	1.13169E-06	3.79755E-08
701	3.6099E-102	8.70587E-61	2.8427E-178	2.47855E-33	5.83382E-13	2.04062E-07	0.641712949	0.007233396	2.22498E-06	4.83077E-08
702	5.8415E-103	2.55347E-61	2.2846E-180	8.48022E-34	1.91198E-13	7.90951E-08	0.77916458	0.013139006	4.30021E-06	6.13463E-08
703	9.3861E-104	7.44897E-62	1.7849E-182	2.87947E-34	6.13205E-14	2.98023E-08	0.895025071	0.022964601	8.16999E-06	7.77712E-08
704	1.4975E-104	2.16128E-62	1.3555E-184	9.70318E-35	1.92451E-14	1.0916E-08	0.972654947	0.038621702	1.52588E-05	9.84255E-08
705	2.3724E-105	6.23697E-63	1.0007E-186	3.24498E-35	5.91057E-15	3.88679E-09	1	0.0625	2.80147E-05	1.24353E-07
706	3.7318E-106	1.79013E-63	7.1821E-189	1.07698E-35	1.77636E-15	1.34533E-09	0.972654947	0.097320591	5.05614E-05	1.56842E-07
707	5.829E-107	5.11026E-64	5.0107E-191	3.5473E-36	5.22425E-16	4.52672E-10	0.895025071	0.14581613	8.97055E-05	1.97482E-07
708	9.0405E-108	1.45094E-64	3.3982E-193	1.15954E-36	1.50353E-16	1.48064E-10	0.77916458	0.210224104	0.000156454	2.48228E-07
709	1.3922E-108	4.09738E-65	2.2404E-195	3.76158E-37	4.23439E-17	4.70791E-11	0.641712949	0.29163226	0.000268238	3.11483E-07
710	2.129E-109	1.15083E-65	1.4358E-197	1.21102E-37	1.16698E-17	1.45519E-11	0.5	0.389282363	0.000452087	3.9019E-07
711	3.2326E-110	3.21486E-66	8.9453E-200	3.86927E-38	3.14723E-18	4.37245E-12	0.368567304	0.5	0.000749016	4.87951E-07
712	4.8738E-111	8.93227E-67	5.4175E-202	1.22688E-38	8.30588E-19	1.27715E-12	0.257028457	0.617947233	0.001219908	6.09166E-07
713	7.2963E-112	2.46837E-67	3.1895E-204	3.86076E-39	2.14505E-19	3.62639E-13	0.169575541	0.734867246	0.001953125	7.59196E-07
714	1.0846E-112	6.78432E-68	1.8254E-206	1.2057E-39	5.42101E-20	1.00097E-13	0.105843164	0.840896415	0.003073975	9.44562E-07
715	1.6009E-113	1.8546E-68	1.0156E-208	3.73683E-40	1.34065E-20	2.68582E-14	0.0625	0.925874712	0.004755954	1.17318E-06
716	2.3463E-114	5.04248E-69	5.4924E-211	1.14938E-40	3.24449E-21	7.00562E-15	0.034915223	0.980930088	0.007233396	1.45466E-06
717	3.4146E-115	1.36359E-69	2.8876E-213	3.50849E-41	7.68366E-22	1.77636E-15	0.01845301	1	0.010814688	1.80059E-06
718	4.9343E-116	3.66753E-70	1.4758E-215	1.06285E-41	1.78067E-22	4.37851E-16	0.009226505	0.980930088	0.015894719	2.22498E-06
